Date,Time,Temperature,Humidity
20/02/2025,22:30:51,43,28.2
20/02/2025,22:31:00,45,30.9
20/02/2025,22:31:06,43,25.3
20/02/2025,22:31:20,42,34.0
20/02/2025,22:31:26,41,26.3
20/02/2025,22:31:34,48,32.9
20/02/2025,22:31:48,43,25.7
20/02/2025,22:32:02,43,25.3
20/02/2025,22:32:13,49,28.4
20/02/2025,22:32:27,48,33.6
20/02/2025,22:32:34,43,34.2
20/02/2025,22:32:42,50,26.6
20/02/2025,22:32:47,44,29.7
20/02/2025,22:32:57,48,34.5
20/02/2025,22:33:03,44,33.7
20/02/2025,22:33:08,42,27.9
20/02/2025,22:33:15,44,32.8
20/02/2025,22:33:30,49,30.6
20/02/2025,22:33:39,43,32.2
20/02/2025,22:33:45,41,27.1
20/02/2025,22:33:51,45,25.4
20/02/2025,22:34:02,45,30.1
20/02/2025,22:34:17,49,27.1
20/02/2025,22:34:23,41,33.9
20/02/2025,22:34:38,42,28.0
20/02/2025,22:34:51,49,26.4
20/02/2025,22:35:04,44,32.8
20/02/2025,22:35:15,50,33.3
20/02/2025,22:35:24,44,28.2
20/02/2025,22:35:38,42,32.2
20/02/2025,22:35:46,47,33.0
20/02/2025,22:35:52,42,25.1
20/02/2025,22:36:04,42,30.9
20/02/2025,22:36:11,40,31.2
20/02/2025,22:36:24,42,27.8
20/02/2025,22:36:33,44,30.6
20/02/2025,22:36:45,49,34.3
20/02/2025,22:36:54,48,26.7
20/02/2025,22:37:08,43,31.2
20/02/2025,22:37:14,44,32.0
20/02/2025,22:37:23,50,26.9
20/02/2025,22:37:36,41,30.2
20/02/2025,22:37:41,50,25.9
20/02/2025,22:37:47,43,27.1
20/02/2025,22:37:52,46,33.6
20/02/2025,22:38:05,47,32.0
20/02/2025,22:38:19,41,34.8
20/02/2025,22:38:29,43,32.8
20/02/2025,22:38:44,44,25.2
20/02/2025,22:38:59,47,32.4
20/02/2025,22:39:13,47,33.0
20/02/2025,22:39:18,40,31.2
20/02/2025,22:39:24,50,34.9
20/02/2025,22:39:34,40,33.7
20/02/2025,22:39:49,44,25.1
20/02/2025,22:39:55,45,27.9
20/02/2025,22:40:01,46,32.5
20/02/2025,22:40:09,44,27.1
20/02/2025,22:40:19,48,31.9
20/02/2025,22:40:26,49,29.4
20/02/2025,22:40:34,47,25.7
20/02/2025,22:40:46,46,32.5
20/02/2025,22:40:57,45,25.8
20/02/2025,22:41:07,43,29.8
20/02/2025,22:41:16,44,31.9
20/02/2025,22:41:21,40,30.9
20/02/2025,22:41:36,43,25.7
20/02/2025,22:41:49,41,26.8
20/02/2025,22:41:55,46,31.2
20/02/2025,22:42:08,41,30.0
20/02/2025,22:42:21,40,31.2
20/02/2025,22:42:32,48,33.0
20/02/2025,22:42:43,42,31.5
20/02/2025,22:42:53,47,30.4
20/02/2025,22:43:02,42,32.6
20/02/2025,22:43:14,40,33.3
20/02/2025,22:43:28,41,27.1
20/02/2025,22:43:39,47,30.2
20/02/2025,22:43:48,46,33.9
20/02/2025,22:43:57,44,31.5
20/02/2025,22:44:10,41,32.8
20/02/2025,22:44:19,40,31.3
20/02/2025,22:44:25,44,30.2
20/02/2025,22:44:30,44,27.6
20/02/2025,22:44:42,49,29.7
20/02/2025,22:44:56,49,29.7
20/02/2025,22:45:04,45,26.6
20/02/2025,22:45:19,48,30.4
20/02/2025,22:45:24,45,32.2
20/02/2025,22:45:35,49,29.9
20/02/2025,22:45:49,42,28.4
20/02/2025,22:45:57,43,34.5
20/02/2025,22:46:02,44,30.3
20/02/2025,22:46:09,43,32.3
20/02/2025,22:46:23,48,28.3
20/02/2025,22:46:32,50,33.6
20/02/2025,22:46:47,40,32.9
20/02/2025,22:46:53,47,28.8
20/02/2025,22:46:58,49,33.6
20/02/2025,22:47:10,47,34.1
20/02/2025,22:47:18,41,25.3
20/02/2025,22:47:30,47,26.1
20/02/2025,22:47:44,43,32.4
20/02/2025,22:47:57,42,28.8
20/02/2025,22:48:10,50,29.8
20/02/2025,22:48:17,48,33.6
20/02/2025,22:48:29,40,31.9
20/02/2025,22:48:39,50,32.7
20/02/2025,22:48:48,45,32.2
20/02/2025,22:48:54,44,26.5
20/02/2025,22:49:04,46,27.3
20/02/2025,22:49:11,48,28.8
20/02/2025,22:49:23,47,26.6
20/02/2025,22:49:33,44,28.4
20/02/2025,22:49:45,47,27.1
20/02/2025,22:49:55,48,32.1
20/02/2025,22:50:10,48,28.9
20/02/2025,22:50:24,43,27.0
20/02/2025,22:50:31,48,28.7
20/02/2025,22:50:43,50,30.5
20/02/2025,22:50:53,47,32.3
20/02/2025,22:51:04,47,29.5
20/02/2025,22:51:12,43,31.0
20/02/2025,22:51:21,46,29.6
20/02/2025,22:51:29,43,31.7
20/02/2025,22:51:37,47,30.5
20/02/2025,22:51:50,41,33.2
20/02/2025,22:52:03,40,31.2
20/02/2025,22:52:08,48,31.4
20/02/2025,22:52:15,44,27.3
20/02/2025,22:52:28,48,33.4
20/02/2025,22:52:33,42,27.1
20/02/2025,22:52:42,49,26.1
20/02/2025,22:52:53,45,29.7
20/02/2025,22:53:00,47,28.2
20/02/2025,22:53:05,49,30.6
20/02/2025,22:53:17,50,26.8
20/02/2025,22:53:22,45,33.5
20/02/2025,22:53:32,46,30.4
20/02/2025,22:53:38,44,25.6
20/02/2025,22:53:52,45,26.9
20/02/2025,22:53:57,49,29.0
20/02/2025,22:54:12,48,27.0
20/02/2025,22:54:21,43,29.4
20/02/2025,22:54:26,45,31.4
20/02/2025,22:54:35,45,33.5
20/02/2025,22:54:48,45,32.2
20/02/2025,22:55:01,50,32.9
20/02/2025,22:55:14,48,26.5
20/02/2025,22:55:19,42,32.4
20/02/2025,22:55:28,50,25.3
20/02/2025,22:55:41,48,28.6
20/02/2025,22:55:55,50,25.8
20/02/2025,22:56:03,45,27.9
20/02/2025,22:56:15,40,29.6
20/02/2025,22:56:27,50,33.8
20/02/2025,22:56:33,49,31.1
20/02/2025,22:56:42,46,26.9
20/02/2025,22:56:57,48,26.1
20/02/2025,22:57:12,40,27.4
20/02/2025,22:57:22,41,32.8
20/02/2025,22:57:36,44,26.3
20/02/2025,22:57:46,41,31.2
20/02/2025,22:57:56,48,31.2
20/02/2025,22:58:05,41,26.1
20/02/2025,22:58:15,49,33.3
20/02/2025,22:58:24,42,26.7
20/02/2025,22:58:29,43,30.3
20/02/2025,22:58:43,46,28.9
20/02/2025,22:58:51,50,25.6
20/02/2025,22:58:58,46,31.2
20/02/2025,22:59:06,42,34.5
20/02/2025,22:59:19,45,27.1
20/02/2025,22:59:28,48,25.7
20/02/2025,22:59:38,45,30.9
20/02/2025,22:59:52,49,25.6
20/02/2025,22:59:57,45,32.4
20/02/2025,23:00:09,40,33.0
20/02/2025,23:00:16,45,31.7
20/02/2025,23:00:28,42,33.7
20/02/2025,23:00:42,45,27.8
20/02/2025,23:00:49,41,26.0
20/02/2025,23:00:58,45,34.2
20/02/2025,23:01:06,46,26.6
20/02/2025,23:01:12,46,30.4
20/02/2025,23:01:20,42,28.4
20/02/2025,23:01:28,45,30.8
20/02/2025,23:01:38,40,27.5
20/02/2025,23:01:50,48,30.7
20/02/2025,23:01:59,43,31.2
20/02/2025,23:02:05,46,32.4
20/02/2025,23:02:14,40,25.1
20/02/2025,23:02:29,50,30.7
20/02/2025,23:02:42,41,26.2
20/02/2025,23:02:54,46,25.0
20/02/2025,23:03:09,47,30.8
20/02/2025,23:03:20,42,31.5
20/02/2025,23:03:25,40,25.5
20/02/2025,23:03:37,45,30.4
20/02/2025,23:03:48,45,30.7
20/02/2025,23:03:58,49,27.3
20/02/2025,23:04:09,46,28.8
20/02/2025,23:04:18,46,29.1
20/02/2025,23:04:26,50,33.8
20/02/2025,23:04:34,48,25.8
20/02/2025,23:04:47,43,29.3
20/02/2025,23:05:01,50,26.4
20/02/2025,23:05:11,42,33.1
20/02/2025,23:05:23,48,25.5
20/02/2025,23:05:37,40,31.5
20/02/2025,23:05:42,44,27.7
20/02/2025,23:05:48,47,34.6
20/02/2025,23:05:59,48,33.7
20/02/2025,23:06:07,47,30.1
20/02/2025,23:06:19,45,34.1
20/02/2025,23:06:24,42,25.0
20/02/2025,23:06:39,42,34.6
20/02/2025,23:06:54,46,26.6
20/02/2025,23:07:08,48,26.3
20/02/2025,23:07:18,50,30.5
20/02/2025,23:07:29,49,29.3
20/02/2025,23:07:34,49,25.7
20/02/2025,23:07:39,43,33.3
20/02/2025,23:07:45,49,28.5
20/02/2025,23:07:57,48,26.4
20/02/2025,23:08:04,50,33.2
20/02/2025,23:08:16,49,26.1
20/02/2025,23:08:22,47,33.5
20/02/2025,23:08:28,47,30.1
20/02/2025,23:08:41,44,29.5
20/02/2025,23:08:48,49,25.3
20/02/2025,23:08:53,50,34.7
20/02/2025,23:09:04,43,34.4
20/02/2025,23:09:18,40,27.9
20/02/2025,23:09:32,42,30.9
20/02/2025,23:09:42,47,25.7
20/02/2025,23:09:54,47,31.3
20/02/2025,23:09:59,41,28.2
20/02/2025,23:10:06,42,30.3
20/02/2025,23:10:17,46,34.8
20/02/2025,23:10:32,41,31.4
20/02/2025,23:10:37,50,32.1
20/02/2025,23:10:50,42,27.4
20/02/2025,23:11:04,48,29.6
20/02/2025,23:11:13,40,31.7
20/02/2025,23:11:26,41,29.5
20/02/2025,23:11:34,46,31.3
20/02/2025,23:11:45,47,26.3
20/02/2025,23:11:52,42,34.5
20/02/2025,23:12:07,48,25.0
20/02/2025,23:12:13,47,28.0
20/02/2025,23:12:26,50,27.6
20/02/2025,23:12:41,41,28.7
20/02/2025,23:12:54,40,29.9
20/02/2025,23:13:09,49,32.2
20/02/2025,23:13:16,41,30.2
20/02/2025,23:13:22,42,27.9
20/02/2025,23:13:29,41,27.8
20/02/2025,23:13:36,41,31.5
20/02/2025,23:13:46,42,28.1
20/02/2025,23:13:51,42,25.8
20/02/2025,23:14:01,49,28.0
20/02/2025,23:14:06,43,31.5
20/02/2025,23:14:15,40,27.4
20/02/2025,23:14:28,46,32.7
20/02/2025,23:14:43,41,29.9
20/02/2025,23:14:58,49,33.7
20/02/2025,23:15:04,43,27.3
20/02/2025,23:15:16,42,26.2
20/02/2025,23:15:29,49,30.7
20/02/2025,23:15:36,42,34.2
20/02/2025,23:15:47,49,32.2
20/02/2025,23:16:02,40,29.3
20/02/2025,23:16:07,40,27.9
20/02/2025,23:16:18,46,34.3
20/02/2025,23:16:27,48,27.0
20/02/2025,23:16:37,48,33.7
20/02/2025,23:16:52,50,32.8
20/02/2025,23:17:07,45,25.8
20/02/2025,23:17:19,41,26.1
20/02/2025,23:17:30,50,29.6
20/02/2025,23:17:38,47,30.9
20/02/2025,23:17:52,48,27.0
20/02/2025,23:18:00,41,30.0
20/02/2025,23:18:12,42,26.4
20/02/2025,23:18:21,47,31.2
20/02/2025,23:18:26,49,32.2
20/02/2025,23:18:36,50,27.6
20/02/2025,23:18:51,47,34.1
20/02/2025,23:18:57,40,31.6
20/02/2025,23:19:03,50,29.9
20/02/2025,23:19:13,47,26.2
20/02/2025,23:19:28,50,32.6
20/02/2025,23:19:37,50,28.7
20/02/2025,23:19:43,49,27.3
20/02/2025,23:19:48,42,28.8
20/02/2025,23:19:56,42,31.2
20/02/2025,23:20:07,49,27.1
20/02/2025,23:20:18,44,30.7
20/02/2025,23:20:25,49,26.4
20/02/2025,23:20:32,48,31.6
20/02/2025,23:20:46,43,29.5
20/02/2025,23:21:01,40,25.2
20/02/2025,23:21:13,40,28.0
20/02/2025,23:21:24,48,26.8
20/02/2025,23:21:37,50,25.9
20/02/2025,23:21:46,46,27.6
20/02/2025,23:22:01,41,30.5
20/02/2025,23:22:14,47,29.0
20/02/2025,23:22:21,50,27.3
20/02/2025,23:22:36,49,30.5
20/02/2025,23:22:44,46,32.7
20/02/2025,23:22:56,46,28.2
20/02/2025,23:23:11,43,27.5
20/02/2025,23:23:21,40,25.7
20/02/2025,23:23:28,45,29.7
20/02/2025,23:23:36,44,27.7
20/02/2025,23:23:49,49,28.4
20/02/2025,23:24:00,40,28.0
20/02/2025,23:24:10,47,29.9
20/02/2025,23:24:15,45,33.0
20/02/2025,23:24:21,45,26.4
20/02/2025,23:24:29,41,29.2
20/02/2025,23:24:36,43,33.2
20/02/2025,23:24:44,41,25.1
20/02/2025,23:24:50,40,28.0
20/02/2025,23:24:58,49,34.4
20/02/2025,23:25:13,42,34.4
20/02/2025,23:25:27,42,34.7
20/02/2025,23:25:40,47,30.8
20/02/2025,23:25:54,50,29.6
20/02/2025,23:26:00,47,29.6
20/02/2025,23:26:12,48,31.3
20/02/2025,23:26:19,47,33.0
20/02/2025,23:26:27,42,29.5
20/02/2025,23:26:42,47,27.6
20/02/2025,23:26:57,50,27.7
20/02/2025,23:27:11,43,31.3
20/02/2025,23:27:17,48,29.3
20/02/2025,23:27:27,41,29.4
20/02/2025,23:27:41,43,25.4
20/02/2025,23:27:47,40,32.0
20/02/2025,23:28:02,41,27.2
20/02/2025,23:28:13,49,29.4
20/02/2025,23:28:27,41,25.8
20/02/2025,23:28:36,43,29.1
20/02/2025,23:28:45,41,30.3
20/02/2025,23:28:50,50,33.8
20/02/2025,23:29:03,42,33.9
20/02/2025,23:29:08,50,33.5
20/02/2025,23:29:14,50,34.6
20/02/2025,23:29:20,50,34.1
20/02/2025,23:29:32,40,33.2
20/02/2025,23:29:44,40,26.0
20/02/2025,23:29:54,44,34.8
20/02/2025,23:30:08,50,34.1
20/02/2025,23:30:13,47,33.9
20/02/2025,23:30:18,40,33.4
20/02/2025,23:30:32,50,29.0
20/02/2025,23:30:43,41,32.2
20/02/2025,23:30:48,47,27.8
20/02/2025,23:30:53,44,32.3
20/02/2025,23:30:58,43,25.0
20/02/2025,23:31:07,47,29.7
20/02/2025,23:31:21,50,34.6
20/02/2025,23:31:30,46,30.8
20/02/2025,23:31:39,44,30.5
20/02/2025,23:31:45,42,29.3
20/02/2025,23:31:59,47,32.6
20/02/2025,23:32:10,45,26.1
20/02/2025,23:32:19,48,27.4
20/02/2025,23:32:30,45,27.8
20/02/2025,23:32:36,43,28.9
20/02/2025,23:32:45,48,31.8
20/02/2025,23:32:54,46,27.2
20/02/2025,23:33:04,45,28.6
20/02/2025,23:33:11,47,28.6
20/02/2025,23:33:16,45,34.0
20/02/2025,23:33:27,49,26.2
20/02/2025,23:33:32,49,30.2
20/02/2025,23:33:40,48,34.6
20/02/2025,23:33:50,46,34.0
20/02/2025,23:33:56,50,28.3
20/02/2025,23:34:01,44,31.2
20/02/2025,23:34:15,44,25.5
20/02/2025,23:34:30,44,26.2
20/02/2025,23:34:36,50,33.6
20/02/2025,23:34:48,50,26.2
20/02/2025,23:35:01,44,33.7
20/02/2025,23:35:07,40,30.0
20/02/2025,23:35:19,42,29.3
20/02/2025,23:35:29,44,30.3
20/02/2025,23:35:36,43,34.9
20/02/2025,23:35:49,42,34.8
20/02/2025,23:36:01,46,26.0
20/02/2025,23:36:14,42,26.3
20/02/2025,23:36:23,42,30.2
20/02/2025,23:36:38,44,30.5
20/02/2025,23:36:43,42,31.4
20/02/2025,23:36:51,43,25.3
20/02/2025,23:37:06,49,35.0
20/02/2025,23:37:11,47,33.6
20/02/2025,23:37:17,41,34.4
20/02/2025,23:37:24,42,30.5
20/02/2025,23:37:31,44,29.4
20/02/2025,23:37:44,43,30.3
20/02/2025,23:37:49,48,27.0
20/02/2025,23:38:04,48,33.0
20/02/2025,23:38:18,42,26.2
20/02/2025,23:38:25,45,25.0
20/02/2025,23:38:32,41,27.9
20/02/2025,23:38:45,44,28.2
20/02/2025,23:38:52,46,32.2
20/02/2025,23:39:04,47,29.9
20/02/2025,23:39:15,42,30.3
20/02/2025,23:39:30,48,27.3
20/02/2025,23:39:36,45,32.5
20/02/2025,23:39:45,40,27.2
20/02/2025,23:39:50,48,29.7
20/02/2025,23:40:04,44,26.9
20/02/2025,23:40:12,43,29.6
20/02/2025,23:40:27,50,29.1
20/02/2025,23:40:38,48,34.3
20/02/2025,23:40:48,42,25.4
20/02/2025,23:41:01,44,28.8
20/02/2025,23:41:06,43,28.3
20/02/2025,23:41:21,48,29.8
20/02/2025,23:41:34,44,30.8
20/02/2025,23:41:44,49,29.4
20/02/2025,23:41:58,50,26.8
20/02/2025,23:42:10,40,27.3
20/02/2025,23:42:19,50,30.8
20/02/2025,23:42:33,43,26.6
20/02/2025,23:42:46,48,32.3
20/02/2025,23:42:51,41,28.5
20/02/2025,23:43:02,43,30.0
20/02/2025,23:43:07,44,33.2
20/02/2025,23:43:17,40,26.7
20/02/2025,23:43:25,43,26.8
20/02/2025,23:43:37,46,27.5
20/02/2025,23:43:43,50,31.4
20/02/2025,23:43:58,41,25.4
20/02/2025,23:44:06,48,25.9
20/02/2025,23:44:17,48,32.0
20/02/2025,23:44:28,42,34.9
20/02/2025,23:44:41,47,32.3
20/02/2025,23:44:55,48,29.1
20/02/2025,23:45:03,46,31.0
20/02/2025,23:45:09,49,27.0
20/02/2025,23:45:21,40,31.3
20/02/2025,23:45:26,50,28.0
20/02/2025,23:45:39,50,28.8
20/02/2025,23:45:51,47,29.7
20/02/2025,23:46:00,42,29.8
20/02/2025,23:46:07,49,34.5
20/02/2025,23:46:20,48,33.0
20/02/2025,23:46:28,47,27.6
20/02/2025,23:46:37,40,31.0
20/02/2025,23:46:46,43,29.5
20/02/2025,23:46:52,45,32.9
20/02/2025,23:46:57,41,33.9
20/02/2025,23:47:10,41,27.9
20/02/2025,23:47:19,48,28.9
20/02/2025,23:47:28,50,34.7
20/02/2025,23:47:35,48,32.0
20/02/2025,23:47:50,41,33.8
20/02/2025,23:48:01,48,27.6
20/02/2025,23:48:13,40,25.3
20/02/2025,23:48:28,50,33.0
20/02/2025,23:48:40,50,32.7
20/02/2025,23:48:46,50,33.7
20/02/2025,23:48:54,50,35.0
20/02/2025,23:49:01,50,30.9
20/02/2025,23:49:14,42,26.3
20/02/2025,23:49:25,47,29.2
20/02/2025,23:49:30,45,31.4
20/02/2025,23:49:41,43,27.7
20/02/2025,23:49:54,44,25.4
20/02/2025,23:50:09,48,35.0
20/02/2025,23:50:16,42,27.5
20/02/2025,23:50:28,42,34.7
20/02/2025,23:50:43,50,32.7
20/02/2025,23:50:48,40,32.5
20/02/2025,23:50:53,47,31.8
20/02/2025,23:51:06,48,27.1
20/02/2025,23:51:15,46,31.0
20/02/2025,23:51:24,41,33.7
20/02/2025,23:51:35,42,28.5
20/02/2025,23:51:41,40,26.4
20/02/2025,23:51:53,48,33.1
20/02/2025,23:51:58,42,26.1
20/02/2025,23:52:09,43,31.8
20/02/2025,23:52:24,43,32.9
20/02/2025,23:52:34,49,29.5
20/02/2025,23:52:43,50,29.3
20/02/2025,23:52:48,45,28.0
20/02/2025,23:53:01,42,27.7
20/02/2025,23:53:07,49,31.6
20/02/2025,23:53:19,44,32.9
